,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Ibiza,Ibiza,LOC,0.00000000,0.00000000,de,4.60000000,4026432-4,6299339,S,38.87286000,1.37312000,EUROPE-AFRICA,Spain,MED
Hessen,Hessen,LOC,-0.17777778,0.11111111,de,4.50000000,4024729-6,2905330,A,50.55000000,9.00000000,EUROPE,Germany,WCE
Grundwasser,Grundwasser,LOC,0.00000000,0.22222222,de,4.50000000,,0,,,,,,
Brasilien,Brasilien,LOC,0.00000000,0.00000000,de,4.20000000,4008003-1,3469034,A,-10.00000000,-55.00000000,SOUTH-AMERICA,Brazil,SAM
Athen,Athen,LOC,-0.17500000,0.00000000,de,4.00000000,4003366-1,264371,P,37.98376000,23.72784000,EUROPE-AFRICA,Greece,MED
Trab,Trab,LOC,-0.17500000,0.00000000,de,4.00000000,,2596174,L,31.14459000,-6.56317000,EUROPE-AFRICA,Morocco,MED
den USA,den USA,LOC,-0.48717949,0.12820513,de,3.90000000,4011446-6,2747373,P,52.07667000,4.29861000,EUROPE,The Netherlands,NEU
Gaza,Gaza,LOC,-0.09210526,0.13157895,de,3.80000000,4092680-1,281133,P,31.50161000,34.46672000,EUROPE-AFRICA,Palestinian Territory,MED
Namibia,Namibia,LOC,0.08108108,0.00000000,de,3.70000000,4075202-1,3355338,A,-22.00000000,17.00000000,AFRICA,Namibia,WSAF
Baden-Württemberg,Baden-Württemberg,LOC,-0.18918919,0.00000000,de,3.70000000,4004176-1,2953481,A,48.50000000,9.00000000,EUROPE,Germany,WCE
Nordsee,Nordsee,LOC,0.68918919,0.00000000,de,3.70000000,4042579-4,2960848,H,55.33333000,3.00000000,EUROPE,,NEU
Wien,Wien,LOC,0.18918919,0.00000000,de,3.70000000,4066009-6,2761369,P,48.20849000,16.37208000,EUROPE,Austria,WCE
Österreichs,Österreichs,LOC,-0.06306306,0.09009009,de,3.70000000,,13513071,S,48.20430000,16.37016000,EUROPE,Austria,WCE
Griechenland,Griechenland,LOC,0.00000000,0.00000000,de,3.70000000,4022047-3,390903,A,39.00000000,22.00000000,EUROPE-AFRICA,Greece,MED
Chile,Chile,LOC,-0.18918919,0.00000000,de,3.70000000,4009929-5,3895114,A,-30.00000000,-71.00000000,SOUTH-AMERICA,Chile,SWS
Hessens,Hessens,LOC,0.09459459,0.40540541,de,3.70000000,,13521977,S,53.51562000,8.07473000,EUROPE,Germany,NEU
Potsdamer,Potsdamer,LOC,0.54054054,0.27027027,de,3.70000000,,2852454,S,52.50939000,13.37638000,EUROPE,Germany,WCE
Israel,Israel,LOC,0.00000000,0.00000000,de,3.70000000,4027808-6,294640,A,31.50000000,34.75000000,EUROPE-AFRICA,Israel,MED
Betwa,Betwa,LOC,0.00000000,0.00000000,de,3.70000000,,1276386,H,25.91814000,80.21417000,ASIA,India,SAS
Land,Land,LOC,-0.38888889,0.00000000,de,3.60000000,,3421288,L,81.90000000,-56.75000000,POLAR,Greenland,GIC
Artensterben,Artensterben,LOC,-0.36559140,0.00000000,de,3.10000000,,0,,,,,,
Afrika,Afrika,LOC,0.54838710,0.00000000,de,3.10000000,4000695-5,6255146,L,7.18810000,21.09375000,AFRICA,Central African Republic,CAF
Schlosspark Wechselburg,Schlosspark Wechselburg,LOC,0.00000000,0.33333333,de,3.00000000,,0,,,,,,
Madagaskar,Madagaskar,LOC,0.00000000,0.00000000,de,3.00000000,4074425-5,1062947,A,-20.00000000,47.00000000,AFRICA,Madagascar,MDG
Park Wechselburg,Park Wechselburg,LOC,0.00000000,0.00000000,de,3.00000000,,0,,,,,,
Belém,Belém,LOC,-0.60714286,0.35714286,de,2.80000000,4208294-8,3405870,P,-1.45583000,-48.50444000,SOUTH-AMERICA,Brazil,NES
Nordseeküste,Nordseeküste,LOC,0.25000000,0.00000000,de,2.80000000,4075482-0,12076810,L,53.83568000,8.11677000,EUROPE,Germany,NEU
Rhein,Rhein,LOC,0.25000000,0.00000000,de,2.80000000,4049739-2,12077024,L,49.31885000,8.77012000,EUROPE,Germany,WCE
Privacy Center,Privacy Center,LOC,0.00000000,0.00000000,de,2.80000000,,0,,,,,,
Oberösterreich,Oberösterreich,LOC,0.00000000,0.00000000,de,2.80000000,4074255-6,2772400,P,48.30639000,14.28611000,EUROPE,Austria,WCE
Klimakrise,Klimakrise,LOC,-0.25000000,0.00000000,de,2.80000000,,0,,,,,,
Trockenperioden,Trockenperioden,LOC,-0.25000000,0.00000000,de,2.80000000,,0,,,,,,
Griechenlands,Griechenlands,LOC,-0.71428571,0.00000000,de,2.80000000,,0,,,,,,
Regengebeten,Regengebeten,LOC,0.00000000,0.00000000,de,2.80000000,,0,,,,,,
Wolkenimpfen,Wolkenimpfen,LOC,0.00000000,0.00000000,de,2.80000000,,0,,,,,,
München,München,LOC,0.00000000,0.71428571,de,2.80000000,4245720-8,2867714,P,48.13743000,11.57549000,EUROPE,Germany,WCE
Äckern,Äckern,LOC,-1.07142857,0.00000000,de,2.80000000,,3321501,L,48.57611000,16.60667000,EUROPE,Austria,WCE
Ecuador,Ecuador,LOC,0.00000000,0.00000000,de,2.80000000,4129321-6,3658394,A,-1.25000000,-78.25000000,SOUTH-AMERICA,Ecuador,NWS
Panamakanals,Panamakanals,LOC,-1.07142857,0.00000000,de,2.80000000,,0,,,,,,
Nazisymbole,Nazisymbole,LOC,-0.71428571,0.00000000,de,2.80000000,,0,,,,,,
Gatún-See,Gatún-See,LOC,-1.07142857,0.00000000,de,2.80000000,,0,,,,,,
Hitze,Hitze,LOC,-0.17857143,0.17857143,de,2.80000000,,2903464,S,50.36667000,12.00000000,EUROPE,Germany,WCE
El Niño,El Niño,LOC,0.00000000,0.00000000,de,2.80000000,,12513655,L,-0.90231000,-89.52853000,PACIFIC,Ecuador,EPO
Halligen,Halligen,LOC,0.25000000,0.00000000,de,2.80000000,4023049-1,2911479,T,54.56693000,8.65713000,EUROPE,Germany,NEU
Köln,Köln,LOC,0.50000000,0.00000000,de,2.80000000,4031483-2,2886242,P,50.93333000,6.95000000,EUROPE,Germany,WCE
Formentera,Formentera,LOC,0.00000000,0.00000000,de,2.80000000,4017869-9,2517690,T,38.69467000,1.46919000,EUROPE-AFRICA,Spain,MED
Hiddensee,Hiddensee,LOC,-0.52678571,0.00000000,de,2.80000000,4024834-3,2904885,T,54.54063000,13.10123000,EUROPE,Germany,NEU
Emser Hütte,Emser Hütte,LOC,-0.05357143,0.00000000,de,2.80000000,,3324312,S,47.35211000,9.72178000,EUROPE,Austria,WCE
Flachgau,Flachgau,LOC,0.50000000,0.00000000,de,2.80000000,4017369-0,3323145,L,47.94500000,13.00000000,EUROPE,Austria,WCE
Großbritannien,Großbritannien,LOC,0.00000000,0.00000000,de,2.80000000,4022153-2,2635167,A,54.75844000,-2.69531000,EUROPE,United Kingdom,NEU
Wasserreserven,Wasserreserven,LOC,-0.35714286,0.00000000,de,2.80000000,,0,,,,,,
Rügen,Rügen,LOC,-0.74107143,0.00000000,de,2.80000000,4050875-4,2843325,T,54.41667000,13.40000000,EUROPE,Germany,NEU
NRW,NRW,LOC,-0.50000000,0.00000000,de,2.80000000,4031483-2,2886242,P,50.93333000,6.95000000,EUROPE,Germany,WCE
Dürreperioden,Dürreperioden,LOC,0.00000000,0.11904762,de,2.80000000,,0,,,,,,
Australiens,Australiens,LOC,-0.71428571,0.35714286,de,2.80000000,,0,,,,,,
Baruth/Mark,Baruth/Mark,LOC,-0.46153846,0.05769231,de,2.60000000,4550655-3,7602464,A,52.05000000,13.50000000,EUROPE,Germany,WCE
Irak,Irak,LOC,0.00000000,0.00000000,de,2.40000000,4072920-5,99237,A,33.00000000,44.00000000,ASIA,Iraq,WCA
Brandenburgs,Brandenburgs,LOC,-0.33333333,0.00000000,de,2.10000000,,8181624,S,52.36213000,13.50168000,EUROPE,Germany,WCE
Mali,Mali,LOC,-0.35000000,0.00000000,de,2.00000000,4074505-3,2453866,A,18.00000000,-2.00000000,AFRICA,Mali,SAH
